ID,Title,Year
IMDB1,1. The Shawshank Redemption,1994
IMDB2,2. The Godfather,1972
IMDB3,3. The Dark Knight,2008
IMDB4,4. The Godfather Part II,1974
IMDB5,5. 12 Angry Men,1957
IMDB6,6. The Lord of the Rings: The Return of the King,2003
IMDB7,7. Schindler's List,1993
IMDB8,8. Pulp Fiction,1994
IMDB9,9. The Lord of the Rings: The Fellowship of the Ring,2001
IMDB10,"10. The Good, the Bad and the Ugly",1966
IMDB11,11. Forrest Gump,1994
IMDB12,12. The Lord of the Rings: The Two Towers,2002
IMDB13,13. Fight Club,1999
IMDB14,14. Inception,2010
IMDB15,15. Star Wars: Episode V - The Empire Strikes Back,1980
IMDB16,16. The Matrix,1999
IMDB17,17. Goodfellas,1990
IMDB18,18. One Flew Over the Cuckoo's Nest,1975
IMDB19,19. Interstellar,2014
IMDB20,20. Se7en,1995
IMDB21,21. It's a Wonderful Life,1946
IMDB22,22. Seven Samurai,1954
IMDB23,23. The Silence of the Lambs,1991
IMDB24,24. Saving Private Ryan,1998
IMDB25,25. City of God,2002
IMDB26,26. The Green Mile,1999
IMDB27,27. Life Is Beautiful,1997
IMDB28,28. Terminator 2: Judgment Day,1991
IMDB29,29. Star Wars: Episode IV - A New Hope,1977
IMDB30,30. Back to the Future,1985
IMDB31,31. Spirited Away,2001
IMDB32,32. The Pianist,2002
IMDB33,33. Gladiator,2000
IMDB34,34. Parasite,2019
IMDB35,35. Psycho,1960
IMDB36,36. The Lion King,1994
IMDB37,37. Grave of the Fireflies,1988
IMDB38,38. The Departed,2006
IMDB39,39. Whiplash,2014
IMDB40,40. Harakiri,1962
IMDB41,41. American History X,1998
IMDB42,42. The Prestige,2006
IMDB43,43. Léon: The Professional,1994
IMDB44,44. Spider-Man: Across the Spider-Verse,2023
IMDB45,45. Casablanca,1942
IMDB46,46. The Usual Suspects,1995
IMDB47,47. The Intouchables,2011
IMDB48,48. Cinema Paradiso,1988
IMDB49,49. Modern Times,1936
IMDB50,50. Alien,1979
IMDB51,51. Rear Window,1954
IMDB52,52. Once Upon a Time in the West,1968
IMDB53,53. Django Unchained,2012
IMDB54,54. Dune: Part Two,2024
IMDB55,55. City Lights,1931
IMDB56,56. Apocalypse Now,1979
IMDB57,57. Memento,2000
