ID,Title,Year
RT1,L.A. Confidential,1997
RT2,The Godfather,1972
RT3,Casablanca,1942
RT4,Seven Samurai,1954
RT5,Parasite,2019
RT6,Schindler's List,1993
RT7,Top Gun: Maverick,2022
RT8,Toy Story 2,1999
RT9,Chinatown,1974
RT10,On the Waterfront,1954
RT11,The Battle of Algiers,1966
RT12,Toy Story,1995
RT13,Rear Window,1954
RT14,Modern Times,1936
RT15,How to Train Your Dragon,2010
RT16,All About Eve,1950
RT17,Spirited Away,2001
RT18,Up,2009
RT19,The Third Man,1949
RT20,Spotlight,2015
RT21,Spider-Man: Into the Spider-Verse,2018
RT22,The Philadelphia Story,1940
RT23,Finding Nemo,2003
RT24,Singin' in the Rain,1952
RT25,12 Angry Men,1957
RT26,Toy Story 3,2010
RT27,Sunset Boulevard,1950
RT28,Coco,2017
RT29,"The Godfather, Part II",1974
RT30,Three Colors: Red,1994
RT31,Selma,2014
RT32,Zootopia,2016
RT33,Citizen Kane,1941
RT34,Annie Hall,1977
RT35,Cool Hand Luke,1967
RT36,The Holdovers,2023
RT37,Inside Out,2015
RT38,Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,1964
RT39,Let the Right One In,2008
RT40,The Lord of the Rings: The Two Towers,2002
RT41,Knives Out,2019
RT42,M,1931
RT43,Toy Story 4,2019
RT44,The Wrestler,2008
RT45,Goodfellas,1990
RT46,The Wizard of Oz,1939
RT47,Double Indemnity,1944
RT48,Psycho,1960
RT49,Paddington 2,2017
RT50,Before Sunrise,1995
RT51,The Dark Knight,2008
RT52,The Maltese Falcon,1941
RT53,It Happened One Night,1934
RT54,The Wages of Fear,1953
RT55,North by Northwest,1959
RT56,Bicycle Thieves,1948
RT57,Alien,1979
RT58,Argo,2012
RT59,Get Out,2017
RT60,The Kid,1921
RT61,Mission: Impossible - Dead Reckoning Part One,2023
RT62,The Pianist,2002
RT63,Kind Hearts and Coronets,1949
RT64,The 400 Blows,1959
RT65,Grave of the Fireflies,1988
RT66,The Big Sick,2017
RT67,Minari,2020
RT68,Portrait of a Lady on Fire,2019
RT69,The Treasure of the Sierra Madre,1948
RT70,Apocalypse Now,1979
RT71,Mission: Impossible - Fallout,2018
RT72,The Last Picture Show,1971
RT73,Tampopo,1985
RT74,Mad Max: Fury Road,2015
RT75,Tokyo Story,1953
